Datetime,Open,High,Low,Close,Adj Close,Volume
2023-06-12 09:15:00,585.0999755859375,587.3499755859375,584.0,587.0999755859375,587.0999755859375,97646
2023-06-12 09:30:00,587.0999755859375,588.8499755859375,586.0,587.4500122070312,587.4500122070312,150962
2023-06-12 09:45:00,587.25,588.75,586.5999755859375,588.6500244140625,588.6500244140625,64072
2023-06-12 10:00:00,588.7000122070312,589.4000244140625,587.5499877929688,589.4000244140625,589.4000244140625,97143
2023-06-12 10:15:00,589.4500122070312,591.0,589.1500244140625,590.0499877929688,590.0499877929688,126732
2023-06-12 10:30:00,590.0,590.6500244140625,588.6500244140625,588.9500122070312,588.9500122070312,84501
2023-06-12 10:45:00,588.8499755859375,590.25,587.4500122070312,588.2000122070312,588.2000122070312,246345
2023-06-12 11:00:00,588.25,588.25,586.2999877929688,586.5,586.5,63828
2023-06-12 11:15:00,586.5499877929688,587.4000244140625,585.7999877929688,586.5,586.5,57504
2023-06-12 11:30:00,586.75,587.9500122070312,586.4000244140625,586.6500244140625,586.6500244140625,66129
2023-06-12 11:45:00,586.6500244140625,586.6500244140625,585.1500244140625,585.6500244140625,585.6500244140625,34431
2023-06-12 12:00:00,585.6500244140625,586.5499877929688,584.25,584.3499755859375,584.3499755859375,58467
2023-06-12 12:15:00,584.25,584.25,582.8499755859375,583.0999755859375,583.0999755859375,105232
2023-06-12 12:30:00,583.2000122070312,584.7999877929688,583.1500244140625,584.4000244140625,584.4000244140625,46074
2023-06-12 12:45:00,584.7000122070312,585.9500122070312,583.4500122070312,583.5499877929688,583.5499877929688,32977
2023-06-12 13:00:00,583.5,585.0,583.5,584.7999877929688,584.7999877929688,30314
2023-06-12 13:15:00,584.2000122070312,585.5,583.0499877929688,583.5,583.5,172901
2023-06-12 13:30:00,583.6500244140625,584.4500122070312,581.5499877929688,583.1500244140625,583.1500244140625,225763
2023-06-12 13:45:00,583.0999755859375,584.2000122070312,582.7999877929688,584.0,584.0,38824
2023-06-12 14:00:00,584.0,584.0999755859375,583.5999755859375,584.0499877929688,584.0499877929688,763460
2023-06-12 14:15:00,584.7000122070312,585.2000122070312,583.6500244140625,585.0,585.0,64151
2023-06-12 14:30:00,585.0,586.25,583.5499877929688,585.2000122070312,585.2000122070312,202970
2023-06-12 14:45:00,585.2000122070312,585.7000122070312,584.0499877929688,584.7999877929688,584.7999877929688,114420
2023-06-12 15:00:00,584.8499755859375,584.8499755859375,584.25,584.3499755859375,584.3499755859375,122824
2023-06-12 15:15:00,584.5499877929688,585.0,583.75,584.4000244140625,584.4000244140625,140745
2023-06-13 09:15:00,583.8499755859375,586.5999755859375,582.2999877929688,583.6500244140625,583.6500244140625,111185
2023-06-13 09:30:00,583.7999877929688,584.1500244140625,583.0999755859375,583.2999877929688,583.2999877929688,49690
2023-06-13 09:45:00,583.3499755859375,583.5,581.0,582.5999755859375,582.5999755859375,104219
2023-06-13 10:00:00,582.5499877929688,584.9000244140625,581.5499877929688,584.7999877929688,584.7999877929688,72231
2023-06-13 10:15:00,584.25,585.4000244140625,584.25,585.0,585.0,72778
2023-06-13 10:30:00,585.0,585.7000122070312,584.5,584.8499755859375,584.8499755859375,281036
2023-06-13 10:45:00,585.0,585.6500244140625,585.0,585.2000122070312,585.2000122070312,55706
2023-06-13 11:00:00,585.2000122070312,585.7999877929688,584.9500122070312,585.0,585.0,80689
2023-06-13 11:15:00,585.0,585.3499755859375,584.7000122070312,584.8499755859375,584.8499755859375,315542
2023-06-13 11:30:00,584.8499755859375,585.4500122070312,584.8499755859375,585.0,585.0,144629
2023-06-13 11:45:00,585.0499877929688,585.5999755859375,585.0,585.0499877929688,585.0499877929688,63978
2023-06-13 12:00:00,585.0,585.5,584.7999877929688,585.0499877929688,585.0499877929688,163730
2023-06-13 12:15:00,585.0,585.7000122070312,584.0999755859375,585.0499877929688,585.0499877929688,414745
2023-06-13 12:30:00,585.0,585.4000244140625,584.5499877929688,585.3499755859375,585.3499755859375,40864
2023-06-13 12:45:00,585.2999877929688,585.4500122070312,584.9000244140625,585.0999755859375,585.0999755859375,165174
2023-06-13 13:00:00,585.0499877929688,585.1500244140625,583.5,584.0,584.0,38069
2023-06-13 13:15:00,584.0,585.0499877929688,583.6500244140625,584.5499877929688,584.5499877929688,34836
2023-06-13 13:30:00,584.8499755859375,585.0,583.4000244140625,584.75,584.75,55615
