trade type,trade price,trade squareoff price,trade profit,trade loss,stoploss level,trade_exit_at,trade__taken_near_level (support/resistance),trade_taken_at
buy,18812.8,18864.1,51.29999999999927,0,18798,2023-06-21 09:31:00,18808,2023-06-21 09:19:00
sell,18866.6,18813.5,53.099999999998545,0,18881,2023-06-21 11:06:00,18871,2023-06-21 09:49:00
buy,18812.6,18863.4,50.80000000000291,0,18798,2023-06-21 13:57:00,18808,2023-06-21 11:07:00
